ItemID,forecast_mean,forecast_std,actual_mean,weeks,avg_daily_demand_ml,safety_stock_ml,rop_ml,ItemName
CHB-3-07-00083,7.688283533285039,7.391337489616342,6.636363636363637,11,1.09832621904072,12.195706857866965,19.883990391152004,شوكو بوم كاتشب كلاسيك
CHB-3-07-00088,43.078739007101085,58.536859791054525,96.92857142857143,14,6.1541055724430125,96.58581865523996,139.66455766234105,شوكو بوم بوب كورن باربكيو
CHB-3-07-00091,2577.4150972000425,4382.693533329881,3714.846153846154,13,368.2021567428632,7231.444329994302,9808.859427194344,شوكو بوم فشار باربكيو
CHB-3-07-00106,1225.6187562861285,185.66039834315214,1458.1818181818182,22,175.0883937551612,306.339657266201,1531.9584135523296,شوكو بوم شيبس كوول
CHB-3-07-00109,1277.9859261556355,1737.1873850893503,1867.05,20,182.56941802223363,2866.359185397428,4144.345111553063,شوكو بوم كرانشي سادة
CHB-3-07-00116,14045.276193986103,3527.260065889199,15379.941176470587,17,2006.4680277123005,5819.979108717178,19865.25530270328,شوكو بوم كاتشب سبايسي
FRF-2-01-00032,6.120707952338293,4.0267018297643125,9.692307692307692,13,0.8743868503340418,6.644058019111116,12.764765971449409,كرنك جبنة سوبر
FRF-2-01-00375,35.56477887717902,57.74296559844769,46.2,15,5.080682696739861,95.27589323743868,130.8406721146177,فرفشة فشار كلاسيك
FRF-2-01-00390,48.6569860419238,70.49978837013015,63.90909090909091,22,6.950998005989114,116.32465081071474,164.98163685263853,فرفشة فشار سوبر
FRF-2-01-00391,1067.2734488766594,278.3218294479486,1103.409090909091,22,152.4676355538085,459.23101858911514,1526.5044674657745,فرفشة هوت باربكيو
FRF-2-01-00392,24.03961463471919,21.057103143647982,26.4,20,3.4342306621027414,34.74422018701917,58.78383482173835,فرفشة ملح فواكه
FRF-2-01-00393,1037.174185431779,260.7080834479677,1058.8181818181818,22,148.16774077596844,430.16833768914665,1467.3425231209258,فرفشة فشار باربكيو
FRF-2-01-00394,17.919418115420264,22.014494836274125,21.65,20,2.559916873631466,36.3239164798523,54.243334595272565,فرفشة بوب كورن باربكيو
FRF-2-01-00395,975.4495448785826,255.3527432341385,991.0,22,139.34993498265467,421.3320263363285,1396.7815712149113,فرفشة شيبس كلاسيك
FRF-2-01-00400,50.94311263658321,55.34518472907885,74.95454545454545,22,7.277587519511887,91.31955480298011,142.2626674395633,فرفشة هوت شوكولاتة
FRF-2-01-00401,432.001138856381,78.04419597073219,476.5,22,61.71444840805442,128.7729233517081,560.774062208089,فرفشة هوت كرز سوبر
FRF-2-01-00403,25.886464558135987,33.53211756712805,27.0,16,3.6980663654479984,55.327993985761275,81.21445854389727,فرفشة هوت جبنة
FRF-2-01-00419,5.557228489097563,4.415704459720394,8.625,8,0.7938897841567947,7.28591235853865,12.843140847636214,كرنك شيبس هوت
FRF-2-01-00424,8161.313071887197,2855.374359435658,8865.0,22,1165.9018674124568,4711.367693068835,12872.680764956032,فرفشة ملح سادة
FRF-2-01-00440,5.24491808708395,1.6647726725370342,6.285714285714286,7,0.7492740124405642,2.7468749096861065,7.991792996770057,فرفشة ملح سوبر
FRF-2-01-00441,653.9816428380414,100.05110991749201,650.7727272727273,22,93.42594897686305,165.08433136386182,819.0659742019031,فرفشة جبنة باربكيو
FRF-2-01-00445,43.383347942575554,44.81446507339157,42.857142857142854,7,6.197621134653651,73.94386737109608,117.32721531367163,فرفشة هوت فواكه
FRF-2-01-00450,39.269776681058715,27.951154298146477,31.5,8,5.609968097294102,46.11940459194169,85.3891812730004,فرفشة هوت كرز
FRF-2-01-00451,9138.570994861106,2956.896824538141,9936.90909090909,22,1305.5101421230152,4878.879760487933,14017.450755349038,فرفشة هوت كوول
FRF-2-01-00453,95.19999481648738,35.19994094497146,104.31818181818181,22,13.599999259498196,58.07990255920291,153.27989737569027,فرفشة ملح كوول
FRF-2-01-00454,163.20028198061928,67.2961474632273,171.77272727272728,22,23.314325997231325,111.03864331432504,274.23892529494435,كرنك شوكولاتة سوبر
FRF-2-01-00455,134.4165885666347,44.225416789499505,152.27272727272728,22,19.202369795233526,72.97193770267418,207.38852626930887,كرنك جبنة فواكه
FRF-2-01-00456,23.36417492540372,16.185237413957488,24.181818181818183,22,3.3377392750576744,26.705641733029854,50.069816658433574,كرنك بوب كورن سوبر
FRF-2-01-00457,79.69811156210034,20.27157917809797,79.5,22,11.385444508871476,33.448105643861645,113.14621720596199,كرنك فشار كلاسيك
FRF-2-01-00458,22.979401142315904,14.176373188748045,24.5,16,3.2827715917594147,23.39101576143427,46.370416903750176,بوكسو بوب كورن سوبر
FRF-2-01-00460,1199.394802486669,430.2849341978298,1187.7727272727273,22,171.34211464095273,709.9701414264191,1909.3649439130882,فرفشة بوب كورن كلاسيك
FRF-2-01-00474,6.644280098460346,6.400881774952314,22.77777777777778,9,0.9491828712086209,10.561454928671317,17.205735027131663,فرفشة بوب كورن كوول
FRF-2-01-00475,1091.7272624126178,765.2922689122536,1081.590909090909,22,155.96103748751685,1262.7322437052183,2354.459506117836,فرفشة مارشميللو كرز
FRF-2-01-00477,3350.0086043261126,460.7813633853861,3406.5,22,478.57265776087326,760.289249585887,4110.2978539119995,فرفشة مارشميللو خضار
FRF-2-01-00484,206.9216982552514,562.6232742761447,140.1818181818182,11,29.56024260789306,928.3284025556387,1135.2501008108902,فرفشة جبنة فلامينج
FRF-2-01-00487,1891.950447056782,943.8653621444734,1852.6666666666667,18,270.27863529382597,1557.377847538381,3449.328294595163,فرفشة شوكولاتة هوت
FRF-2-02-00070,26114.97637211805,5393.4768126177005,26850.090909090908,22,3730.7109103025787,8899.236740819206,35014.21311293726,رايق جبنة سادة
FRF-2-02-00071,3786.489181611543,840.7914686066106,4642.181818181818,22,540.9270259445061,1387.3059232009073,5173.7951048124505,رايق بوب كورن سادة
FRF-2-02-00074,239.3839563934748,364.5334696656764,628.1363636363636,22,34.197708056210686,601.4802249483661,840.8641813418409,رايق بوب كورن باربكيو
FRF-2-03-00004,4895.021169977025,3001.657923276842,5076.909090909091,22,699.2887385681464,4952.73557340679,9847.756743383816,رايق شوكولاتة كرز
FRF-2-04-00005,56.059039918093966,47.77952297412758,53.27272727272727,22,8.008434274013423,78.8362129073105,134.89525282540444,رايق كاتشب كلاسيك
GRF-3-09-00001,1.8943068665051659,0.9516847850458364,2.2,10,0.27061526664359514,1.57027989532563,3.4645867618307964,جرافيتي بوب كورن سويت
GRF-3-09-00002,0.9599277290502165,0.5072975985716088,0.5,4,0.1371325327214595,0.8370410376431545,1.7969687666933711,جرافيتي بوب كورن هوت
GRF-3-09-00003,3.0469143402436956,4.52878346779935,5.25,4,0.4352734771776708,7.472492721868927,10.519407062112624,جرافيتي شوكو كرانش
GRF-3-09-00004,1.085714918916933,1.1310203496407156,1.0,5,0.1551021312738476,1.8661835769071806,2.9518984958241137,جرافيتي مارشملو ميكس
GRF-3-09-00009,20.24081415266554,16.03830962172797,24.0,21,2.89154487895222,26.463210875851146,46.70402502851668,جرافيتي توت بوم
GRF-3-09-00010,19.908844222872325,14.37753890765379,37.81818181818182,22,2.844120603267475,23.72293919762875,43.63178342050108,جرافيتي سناك ستار
GRF-3-09-00011,54.651316164434,31.706519117712737,66.18181818181819,22,7.807330880633429,52.31575654422601,106.96707270866001,جرافيتي كاتشب بوم
